trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop,position_fraction
2021-07-11,716.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-12,712.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-13,709.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-14,708.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-15,711.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-25,716.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-26,718.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-27,725.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-28,726.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-07-29,722.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-01,723.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-02,725.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-03,737.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-04,738.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-05,738.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-10,744.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-11,740.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-12,738.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-15,733.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-16,730.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-17,737.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-18,736.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-19,736.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-22,735.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-23,734.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-24,738.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-25,751.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-26,757.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-29,762.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-30,773.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-08-31,772.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-01,782.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-02,786.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-05,782.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-06,785.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-07,785.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-08,780.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-09,785.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-12,785.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-13,785.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-14,785.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-15,790.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-09-16,799.0,BUY,"fresh 40-session high, close 799.000 broke ceiling 790.000",IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-19,801.0,HOLD,close 801.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-20,785.0,HOLD,close 785.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-21,786.0,HOLD,close 786.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-22,777.0,HOLD,close 777.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-23,781.0,HOLD,close 781.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-26,785.0,HOLD,close 785.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-27,779.0,HOLD,close 779.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-28,770.0,HOLD,close 770.000 above trailing stop 768.897,IN_POSITION,2021-09-16,799.0,768.8973617945906,1.0
2021-09-29,766.0,SELL_SIGNAL,close 766.000 broke trailing stop 768.897 (chandelier 3.5x ATR14 off high 801.000),EXIT_SIGNAL,2021-09-16,799.0,768.8973617945906,1.0
2021-09-30,770.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-03,770.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-04,769.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-05,773.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-06,769.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-07,767.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-10,764.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2021-10-11,761.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
