trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop
2021-07-11,584.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-12,582.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-13,585.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-14,586.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-15,584.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-25,588.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-26,590.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-27,592.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-28,589.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-07-29,591.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-01,588.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-02,588.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-03,587.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-04,588.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-05,589.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-10,592.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-11,590.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-12,591.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-15,590.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-16,591.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-17,592.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-18,593.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-19,598.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-22,602.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-23,600.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-24,602.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-25,602.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-26,605.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-29,610.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-30,617.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-08-31,611.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-09-01,608.0,WAIT,no qualifying breakout,NO_POSITION,,,
2021-09-02,602.0,WAIT,no qualifying breakout,NO_POSITION,,,
