symbol,date,prior_close,rejected_close,pct
ACICO,2025-09-29,102.0,145.0,42.156862745098046
ACICO,2025-10-05,199.0,289.0,45.226130653266324
ALAQARIA,2025-06-23,36.7,67.1,82.83378746594003
ALAQARIA,2025-06-24,67.1,48.0,28.46497764530551
ALAQARIA,2025-07-01,40.6,53.0,30.54187192118225
ALAQARIA,2025-07-15,51.8,66.5,28.37837837837838
ALIMTIAZ,2025-04-30,43.8,30.0,31.506849315068486
ALKOUT,2021-08-31,670.0,500.0,25.373134328358205
ALKOUT,2022-06-05,545.0,406.0,25.5045871559633
ALKOUT,2024-11-17,789.0,1000.0,26.742712294043102
ALKOUT,2024-11-18,1000.0,1464.0,46.4
ALKOUT,2024-11-19,1464.0,1948.0,33.060109289617486
ALKOUT,2024-11-24,1800.0,1311.0,27.16666666666666
ALKOUT,2026-04-16,850.0,1074.0,26.35294117647058
ALOLA,2024-01-16,39.0,53.4,36.92307692307693
ALOLA,2025-07-13,48.5,72.0,48.453608247422686
ALSAFAT,2024-08-22,79.2,99.7,25.883838383838388
ALSAFAT,2025-06-24,121.0,158.0,30.578512396694222
AMAR,2021-10-14,57.0,79.3,39.12280701754385
AMAR,2021-10-24,71.3,90.0,26.22720897615709
ARABREC,2023-05-17,37.0,51.0,37.83783783783783
ARABREC,2025-09-21,280.0,200.0,28.57142857142857
ARGAN,2023-12-26,70.0,93.1,32.999999999999986
ARGAN,2025-01-20,93.3,117.0,25.401929260450174
ARKAN,2025-07-16,144.0,204.0,41.66666666666667
ARKAN,2025-10-19,240.0,321.0,33.74999999999999
ASC,2023-05-30,77.2,97.9,26.81347150259068
ASC,2024-01-16,105.0,159.0,51.42857142857142
ASC,2024-01-18,197.0,273.0,38.57868020304569
ASC,2025-03-02,222.0,161.0,27.477477477477475
ATC,2025-02-19,505.0,652.0,29.108910891089113
ATC,2025-09-30,599.0,759.0,26.711185308848084
ATC,2025-10-01,759.0,563.0,25.823451910408433
BAYANINV,2023-05-30,21.1,34.0,61.137440758293835
BAYANINV,2024-05-07,40.3,52.0,29.03225806451615
BAYANINV,2024-07-31,85.2,62.4,26.7605633802817
